"['id', 'date', 'hour', 'leagueMatchNb', 'idHome', 'homeTeam', 'idAway', 'awayTeam', 'h_score', 'a_score', 'h_possession', 'h_shots', 'h_targettedShots', 'h_nonTargettedShots', 'h_blockedShots', 'h_freeKicks', 'h_corners', 'h_offPlays', 'h_throwsIns', 'h_goalKeeperSaves', 'h_fouls', 'h_redCards', 'h_yellowCards', 'h_attemptedPasses', 'h_succeededPasses', 'h_tackles', 'h_attacks', 'h_dangerousAttacks', 'a_possession', 'a_shots', 'a_targettedShots', 'a_nonTargettedShots', 'a_blockedShots', 'a_freeKicks', 'a_corners', 'a_offPlays', 'a_throwsIns', 'a_goalKeeperSaves', 'a_fouls', 'a_redCards', 'a_yellowCards', 'a_attemptedPasses', 'a_succeededPasses', 'a_tackles', 'a_attacks', 'a_dangerousAttacks']"
"[88, 20210321, 1500, '30', 20, 'DFCO', 14, 'SDR', '0', '1', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"[89, 20210321, 1500, '30', 8, 'MHSC', 12, 'FCGB', '3', '1', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"[90, 20210321, 1500, '30', 18, 'FCN', 16, 'FCL', '1', '1', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"[91, 20210321, 1300, '30', 15, 'RCSA', 7, 'RCL', '1', '2', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"[92, 20210320, 1700, '30', 9, 'OGCN', 5, 'OM', '3', '0', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"[93, 20210320, 1300, '30', 10, 'FCM', 6, 'SRFC', '1', '3', 52, 14, 2, 6, 6, 15, 4, 3, 2, 11, 0, 0, 0, 0, 501, 12, 133, 48, 48, 9, 5, 4, 0, 12, 3, 2, 1, 12, 1, 0, 0, 2, 471, 14, 111, 32]"
"[94, 20210319, 2100, '30', 11, 'ASSE', 3, 'ASM', '0', '4', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"[95, 20210314, 2100, '29', 2, 'PSG', 18, 'FCN', '1', '2', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"[96, 20210314, 1705, '29', 3, 'ASM', 1, 'LOSC', '0', '0', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"[97, 20210314, 1500, '29', 20, 'DFCO', 12, 'FCGB', '1', '3', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"[98, 20210314, 1500, '29', 7, 'RCL', 10, 'FCM', '2', '2', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"[99, 20210314, 1500, '29', 16, 'FCL', 9, 'OGCN', '1', '1', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"[100, 20210314, 1500, '29', 6, 'SRFC', 15, 'RCSA', '1', '0', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"[101, 20210314, 1300, '29', 19, 'NO', 8, 'MHSC', '1', '1', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"[102, 20210313, 1700, '29', 5, 'OM', 17, 'SB29', '3', '1', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"[103, 20210313, 1300, '29', 13, 'SCO', 11, 'ASSE', '0', '1', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"[104, 20210312, 2100, '29', 14, 'SDR', 4, 'OL', '1', '1', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"[105, 20210310, 1900, '22', 5, 'OM', 6, 'SRFC', '1', '0', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"[106, 20210303, 2100, '28', 12, 'FCGB', 2, 'PSG', '0', '1', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"[107, 20210303, 2100, '28', 1, 'LOSC', 5, 'OM', '2', '0', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"[108, 20210303, 2100, '28', 8, 'MHSC', 16, 'FCL', '1', '1', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"[109, 20210303, 2100, '28', 18, 'FCN', 14, 'SDR', '1', '2', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"[110, 20210303, 2100, '28', 15, 'RCSA', 3, 'ASM', '1', '0', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"[111, 20210303, 1900, '28', 17, 'SB29', 20, 'DFCO', '3', '1', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"[112, 20210303, 1900, '28', 4, 'OL', 6, 'SRFC', '1', '0', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"[113, 20210303, 1900, '28', 10, 'FCM', 13, 'SCO', '0', '1', 65, 15, 1, 7, 7, 11, 6, 2, 3, 18, 1, 0, 0, 2, 586, 21, 139, 44, 35, 8, 4, 4, 0, 19, 1, 2, 1, 9, 0, 0, 0, 2, 314, 26, 78, 32]"
"[114, 20210303, 1900, '28', 9, 'OGCN', 19, 'NO', '2', '1', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"[115, 20210303, 1900, '28', 11, 'ASSE', 7, 'RCL', '2', '3', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"[116, 20210228, 2100, '27', 5, 'OM', 4, 'OL', '1', '1', 53, 12, 2, 5, 5, 17, 7, 0, 0, 13, 0, 0, 0, 4, 479, 15, 110, 53, 47, 11, 1, 6, 4, 13, 2, 7, 1, 11, 1, 0, 0, 4, 424, 9, 105, 46]"
"[117, 20210228, 1700, '27', 1, 'LOSC', 15, 'RCSA', '1', '1', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"[118, 20210228, 1500, '27', 13, 'SCO', 7, 'RCL', '2', '2', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"[119, 20210228, 1500, '27', 16, 'FCL', 11, 'ASSE', '2', '1', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"[120, 20210228, 1500, '27', 19, 'NO', 18, 'FCN', '1', '1', 61, 8, 4, 2, 2, 29, 1, 0, 0, 16, 1, 0, 0, 2, 509, 19, 123, 43, 39, 8, 1, 4, 3, 16, 8, 2, 3, 25, 0, 0, 0, 1, 313, 27, 107, 50]"
"[121, 20210228, 1500, '27', 14, 'SDR', 8, 'MHSC', '0', '0', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"[122, 20210228, 1300, '27', 3, 'ASM', 17, 'SB29', '2', '0', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"[123, 20210227, 1700, '27', 20, 'DFCO', 2, 'PSG', '0', '4', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"[124, 20210227, 1300, '27', 12, 'FCGB', 10, 'FCM', '1', '2', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"[125, 20210226, 2100, '27', 6, 'SRFC', 9, 'OGCN', '1', '2', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"[126, 20210224, 1900, '21', 19, 'NO', 16, 'FCL', '1', '0', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"[127, 20210221, 2100, '26', 2, 'PSG', 3, 'ASM', '0', '2', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"[128, 20210221, 1705, '26', 16, 'FCL', 1, 'LOSC', '1', '4', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"[129, 20210221, 1500, '26', 7, 'RCL', 20, 'DFCO', '2', '1', 55, 11, 4, 4, 3, 13, 5, 3, 3, 13, 0, 0, 0, 3, 472, 16, 122, 47, 45, 12, 4, 5, 3, 16, 4, 1, 2, 12, 1, 0, 0, 0, 379, 19, 97, 32]"
"[130, 20210221, 1500, '26', 9, 'OGCN', 10, 'FCM', '1', '2', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"[131, 20210221, 1500, '26', 19, 'NO', 12, 'FCGB', '2', '0', 29, 8, 3, 1, 4, 13, 6, 1, 4, 10, 0, 0, 0, 0, 259, 27, 76, 32, 71, 11, 4, 4, 3, 11, 7, 1, 1, 12, 1, 0, 0, 3, 631, 12, 163, 68]"
"[132, 20210221, 1500, '26', 15, 'RCSA', 13, 'SCO', '0', '0', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"[133, 20210221, 1300, '26', 8, 'MHSC', 6, 'SRFC', '2', '1', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"[134, 20210220, 1700, '26', 18, 'FCN', 5, 'OM', '1', '1', 34, 6, 1, 4, 1, 17, 2, 2, 2, 11, 0, 0, 0, 4, 300, 12, 100, 33, 66, 7, 3, 4, 0, 13, 1, 3, 0, 15, 1, 0, 0, 1, 598, 14, 137, 29]"
"[135, 20210220, 1300, '26', 11, 'ASSE', 14, 'SDR', '1', '1', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"[136, 20210219, 2100, '26', 17, 'SB29', 4, 'OL', '2', '3', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"[137, 20210217, 2100, '11', 5, 'OM', 9, 'OGCN', '3', '2', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"[138, 20210214, 2100, '25', 12, 'FCGB', 5, 'OM', '0', '0', 56, 18, 1, 13, 4, 20, 6, 3, 1, 13, 0, 0, 0, 1, 488, 9, 82, 77, 44, 5, 1, 3, 1, 16, 5, 3, 1, 17, 2, 0, 0, 1, 390, 11, 83, 48]"
"[139, 20210214, 1700, '25', 1, 'LOSC', 17, 'SB29', '0', '0', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"[140, 20210214, 1500, '25', 13, 'SCO', 18, 'FCN', '1', '3', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"[141, 20210214, 1500, '25', 20, 'DFCO', 19, 'NO', '0', '2', 51, 10, 3, 7, 0, 17, 3, 1, 2, 17, 1, 0, 0, 4, 474, 13, 121, 53, 49, 8, 4, 3, 1, 18, 0, 4, 3, 13, 0, 0, 0, 1, 472, 22, 124, 47]"
"[142, 20210214, 1500, '25', 10, 'FCM', 15, 'RCSA', '1', '2', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"[143, 20210214, 1500, '25', 6, 'SRFC', 11, 'ASSE', '0', '2', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"[144, 20210214, 1300, '25', 3, 'ASM', 16, 'FCL', '2', '2', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"[145, 20210213, 2100, '25', 4, 'OL', 8, 'MHSC', '1', '2', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"[146, 20210213, 1900, '25', 14, 'SDR', 7, 'RCL', '1', '1', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"[147, 20210213, 1700, '25', 2, 'PSG', 9, 'OGCN', '2', '1', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"[148, 20210207, 2100, '24', 5, 'OM', 2, 'PSG', '0', '2', 53, 12, 4, 4, 4, 15, 7, 2, 0, 12, 1, 0, 0, 1, 554, 18, 120, 54, 47, 9, 2, 7, 0, 14, 1, 3, 4, 12, 0, 0, 0, 2, 486, 13, 95, 35]"
"[149, 20210207, 1700, '24', 18, 'FCN', 1, 'LOSC', '0', '2', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"[150, 20210207, 1500, '24', 8, 'MHSC', 20, 'DFCO', '4', '2', 59, 24, 11, 9, 4, 15, 9, 1, 3, 12, 0, 0, 0, 3, 463, 11, 118, 66, 41, 13, 5, 4, 4, 13, 4, 0, 7, 14, 1, 0, 0, 3, 338, 11, 87, 31]"
"[151, 20210207, 1500, '24', 9, 'OGCN', 13, 'SCO', '3', '0', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"[152, 20210207, 1500, '24', 19, 'NO', 3, 'ASM', '3', '4', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"[153, 20210207, 1500, '24', 11, 'ASSE', 10, 'FCM', '1', '0', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"[154, 20210207, 1300, '24', 17, 'SB29', 12, 'FCGB', '2', '1', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"[155, 20210206, 2100, '24', 7, 'RCL', 6, 'SRFC', '0', '0', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"[156, 20210206, 1900, '24', 4, 'OL', 15, 'RCSA', '3', '0', 70, 16, 8, 4, 4, 10, 6, 2, 1, 7, 0, 0, 0, 2, 651, 9, 126, 62, 30, 8, 1, 3, 4, 9, 2, 0, 5, 10, 1, 0, 0, 2, 271, 21, 76, 26]"
"[157, 20210206, 1700, '24', 16, 'FCL', 14, 'SDR', '1', '0', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"[158, 20210203, 2100, '23', 20, 'DFCO', 4, 'OL', '0', '1', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"[159, 20210203, 2100, '23', 7, 'RCL', 5, 'OM', '2', '2', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"[160, 20210203, 2100, '23', 3, 'ASM', 9, 'OGCN', '2', '1', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"[161, 20210203, 2100, '23', 2, 'PSG', 19, 'NO', '3', '0', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"[162, 20210203, 2100, '23', 11, 'ASSE', 18, 'FCN', '1', '1', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"[163, 20210203, 1900, '23', 12, 'FCGB', 1, 'LOSC', '0', '3', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"[164, 20210203, 1900, '23', 10, 'FCM', 8, 'MHSC', '1', '1', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"[165, 20210203, 1900, '23', 14, 'SDR', 13, 'SCO', '0', '0', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"[166, 20210203, 1900, '23', 6, 'SRFC', 16, 'FCL', '1', '1', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"[167, 20210203, 1900, '23', 15, 'RCSA', 17, 'SB29', '2', '2', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"[168, 20210131, 2100, '22', 18, 'FCN', 3, 'ASM', '1', '2', 32, 9, 3, 5, 1, 17, 2, 3, 3, 11, 1, 0, 0, 4, 292, 19, 85, 26, 68, 14, 5, 6, 3, 13, 8, 3, 2, 14, 0, 0, 0, 3, 635, 20, 150, 57]"
"[169, 20210131, 1700, '22', 1, 'LOSC', 20, 'DFCO', '1', '0', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"[170, 20210131, 1500, '22', 13, 'SCO', 19, 'NO', '3', '1', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"[171, 20210131, 1500, '22', 17, 'SB29', 10, 'FCM', '2', '4', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"[172, 20210131, 1500, '22', 16, 'FCL', 2, 'PSG', '3', '2', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"[173, 20210131, 1500, '22', 15, 'RCSA', 14, 'SDR', '0', '1', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"[174, 20210131, 1300, '22', 9, 'OGCN', 11, 'ASSE', '0', '1', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"[175, 20210130, 1700, '22', 8, 'MHSC', 7, 'RCL', '1', '2', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"[176, 20210129, 2100, '22', 4, 'OL', 12, 'FCGB', '2', '1', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"[177, 20210127, 2100, '20', 16, 'FCL', 20, 'DFCO', '3', '2', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"[178, 20210124, 2100, '21', 11, 'ASSE', 4, 'OL', '0', '5', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"[179, 20210124, 1700, '21', 6, 'SRFC', 1, 'LOSC', '0', '1', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"[180, 20210124, 1500, '21', 20, 'DFCO', 15, 'RCSA', '1', '1', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
